xa,ya,za
-71,0,976
-75,-10,1054
-73,4,973
-66,-18,1023
-79,-34,1008
-83,-46,887
-89,-170,859
-39,-418,622
25,-606,414
68,-810,100
131,-929,66
158,-987,-36
166,-1000,-89
182,-994,-62
204,-1046,-17
218,-1000,55
243,-1011,210
287,-957,335
290,-988,382
280,-910,831
261,-948,729
279,-403,948
163,-635,965
237,-408,1051
187,-4,981
167,37,975
24,134,1138
25,169,805
-24,268,758
-36,564,685
-53,680,641
-158,599,588
-137,837,410
-198,799,210
-268,833,82
-247,818,-50
-248,923,-77
-238,908,152
-287,981,210
-127,888,302
-125,947,491
-86,922,552
-60,819,632
-44,735,655
-37,725,728
-7,719,836
15,619,859
36,501,1113
6,418,935
31,252,980
110,199,988
136,3,907
173,-88,935
169,-322,690
173,-462,443
153,-744,211
98,-953,10
58,-1004,-297
119,-1036,-538
144,-1045,-693
201,-851,-743
197,-796,-631
209,-708,-395
195,-769,-110
127,-867,273
96,-1079,468
104,-991,615
131,-794,696
89,-628,936
29,-348,743
172,-506,929
150,-79,1001
210,98,818
219,484,732
178,587,537
174,762,448
148,801,372
154,865,143
149,907,0
124,955,-66
205,988,-87
225,893,503
150,840,786
171,412,878
263,406,1048
288,194,982
162,-35,979
198,-228,852
133,-381,752
146,-549,539
-23,-772,365
-23,-711,332
-96,-958,394
-89,-985,1094
11,-981,1054
67,-435,1001
129,82,915
150,110,844
162,359,506
167,490,316
131,738,-7
266,908,-231
268,957,-355
317,851,-546
228,845,-558
293,820,-796
305,828,-821
325,480,-953
301,370,-946
329,205,-713
197,244,-316
404,549,394
343,871,575
290,859,836
302,627,903
297,510,1016
259,169,793
248,606,683
241,-48,597
176,-574,134
32,-776,-308
71,-1026,-541
251,-989,-653
298,-861,-707
310,-766,-506
289,-670,-259
263,-759,40
286,-1136,502
306,-867,870
308,-853,816
322,-435,228
310,197,158
382,807,-212
403,947,-435
383,900,-564
441,753,-615
431,767,-344
397,697,-33
389,948,189
365,867,354
346,851,745
332,869,854
326,453,799
304,-112,630
292,-460,524
289,-675,384
314,-814,298
355,-887,249
392,-924,126
358,-939,-54
282,-979,-71
203,-991,233
180,-972,451
131,-940,568
114,-858,817
187,-983,927
265,-379,641
17,425,335
